BOROUGH,GEOID,STATE,COUNTY,TRACT,pop_total,med_hhinc,med_age,avg_hhsize,hh_total,hh_noveh,hh_1veh,hh_2veh,hh_3veh,hh_4plus,mean_trvtm,cmut_car,cmut_trans,cmut_bike,cmut_walk,pop_povty,hu_total,hu_vacant,med_homval,pop_age,m_und5,m_5to9,m_10to14,m_15to17,m_18to19,m_20,m_21,m_22to24,m_25to29,m_30to34,m_35to39,m_40to44,m_45to49,m_50to54,m_55to59,m_60to61,m_62to64,m_65to66,m_67to69,m_70to74,m_75to79,m_80to84,m_85plus,f_und5,f_5to9,f_10to14,f_15to17,f_18to19,f_20,f_21,f_22to24,f_25to29,f_30to34,f_35to39,f_40to44,f_45to49,f_50to54,f_55to59,f_60to61,f_62to64,f_65to66,f_67to69,f_70to74,f_75to79,f_80to84,f_85plus,pop_race,r_white,r_black,r_native,r_asian,r_pacific,r_other,r_twomore,pop_hisp,nh_total,nh_white,nh_black,nh_native,nh_asian,nh_pacific,nh_other,nh_twomore,h_total,h_white,h_black,h_native,h_asian,h_pacific,h_other,h_twomore,age_und18,age_18t64,age_65plus,pct_noveh,pct_povty,vac_rate,pct_white,pct_black,pct_asian,pct_hisp,pct_und18,pct_18t64,pct_65plus
Bronx,36005000100,36,005,000100,3538,-666666666,35.5,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,3538,0,0,0,0,82,59,83,153,594,574,573,382,290,243,100,27,16,6,26,5,7,39,0,0,0,0,0,0,0,14,30,29,54,70,17,15,8,28,0,14,0,0,0,0,0,0,3538,1393,1610,10,79,0,240,206,3538,2672,958,1545,10,79,0,17,63,866,435,65,0,0,0,223,143,0,3455,83,,0.0,,39.37,45.51,2.23,24.48,0.0,97.65,2.35
Bronx,36005000200,36,005,000200,5177,121171,39.7,3.58,1446,296,579,535,36,0,201,1248,910,0,210,729,1504,58,619400,5177,72,72,185,127,53,0,137,138,184,287,196,203,157,76,157,42,336,21,51,37,63,53,0,189,68,158,11,129,14,12,77,194,210,119,217,155,168,23,111,185,68,120,59,74,83,86,5177,782,1671,0,311,0,1874,539,5177,1979,77,1517,0,311,0,33,41,3198,705,154,0,0,0,1841,498,882,3580,715,20.47,14.08,3.86,15.11,32.28,6.01,61.77,17.04,69.15,13.81
Bronx,36005000400,36,005,000400,6481,98242,34.8,2.88,2246,458,844,673,201,70,174,1939,663,147,182,317,2260,14,592500,6481,39,20,328,86,39,39,50,99,513,267,116,174,233,281,146,63,88,22,312,94,28,39,28,217,331,257,168,20,11,0,220,308,266,209,137,278,202,185,14,212,38,185,27,34,0,58,6481,532,2767,0,19,0,2351,812,6481,2998,333,2481,0,19,0,80,85,3483,199,286,0,0,0,2271,727,1446,4170,865,20.39,4.89,0.62,8.21,42.69,0.29,53.74,22.31,64.34,13.35
Bronx,36005001600,36,005,001600,6011,42957,42.1,2.69,2149,1125,625,334,13,52,288,1100,765,13,155,1044,2149,0,694100,6011,193,153,123,160,130,161,64,111,266,22,42,107,196,208,88,80,100,15,180,140,44,15,78,39,112,318,168,139,40,62,180,124,112,104,275,198,225,336,100,32,76,173,131,232,121,38,6011,260,2357,151,282,0,2360,601,6011,2712,104,2087,151,282,0,6,82,3299,156,270,0,0,0,2354,519,1266,3502,1243,52.35,17.37,0.0,4.33,39.21,4.69,54.88,21.06,58.26,20.68
Bronx,36005001901,36,005,001901,2401,67361,32.8,2.18,1092,778,252,62,0,0,22,234,642,21,92,730,1104,12,-666666666,2401,77,44,58,58,3,0,33,0,166,217,112,173,59,106,72,16,18,0,0,0,0,4,0,131,19,149,20,1,1,13,84,50,168,109,72,181,97,20,21,18,0,0,31,0,0,0,2401,513,1154,36,12,0,566,120,2401,1316,355,875,36,12,0,0,38,1085,158,279,0,0,0,566,82,556,1810,35,71.25,30.4,1.09,21.37,48.06,0.5,45.19,23.16,75.39,1.46
Bronx,36005001902,36,005,001902,1979,76429,35.6,2.66,566,289,116,36,125,0,49,212,414,0,267,689,593,27,447700,1979,77,24,15,0,0,0,125,26,58,152,91,170,49,81,141,45,7,13,7,10,0,0,7,45,55,9,0,15,4,4,97,169,73,50,17,4,148,89,26,43,0,24,0,0,0,9,1979,115,423,26,23,500,565,327,1979,1018,93,343,0,0,500,4,78,961,22,80,26,23,0,561,249,225,1684,70,51.06,34.82,4.55,5.81,21.37,1.16,48.56,11.37,85.09,3.54
Bronx,36005001903,36,005,001903,0,-666666666,-666666666.0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Bronx,36005001904,36,005,001904,0,-666666666,-666666666.0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Bronx,36005002001,36,005,002001,4300,23208,28.0,2.45,1726,1333,393,0,0,0,246,145,609,0,30,2146,1758,32,-666666666,4300,131,148,224,39,108,0,57,184,22,123,80,34,60,65,76,8,130,25,5,10,75,33,11,73,303,178,148,21,40,0,299,204,149,122,112,164,133,94,69,95,19,29,28,191,93,88,4300,626,1775,53,0,0,1316,530,4300,2158,24,1698,0,0,0,105,331,2142,602,77,53,0,0,1211,199,1244,2449,607,77.23,49.91,1.82,14.56,41.28,0.0,49.81,28.93,56.95,14.12
Bronx,36005002002,36,005,002002,3689,18029,47.0,2.01,1832,1194,558,59,0,21,0,409,714,0,0,1632,1896,64,558900,3689,113,121,108,0,0,0,25,285,109,234,35,187,140,147,0,0,59,216,0,119,21,231,52,108,0,80,50,0,0,0,0,20,196,0,50,69,142,207,0,0,40,19,127,236,143,0,3689,596,1069,0,0,0,1511,513,3689,959,35,904,0,0,0,0,20,2730,561,165,0,0,0,1511,493,580,1905,1204,65.17,44.24,3.38,16.16,28.98,0.0,74.0,15.72,51.64,32.64
